,X1,X2,y
0,0.983556719,0.910847695,1
1,-0.781721891,-0.755374129,0
2,-1.781960438,-0.248701536,0
3,0.952834454,1.509980456,1
4,1.842777473,0.993588494,1
5,-1.946938977,-1.934789388,0
6,-0.865394503,-0.997741129,0
7,0.63399886,-1.614925321,1
8,0.053709285,0.28887338,1
9,-1.376260174,0.507308935,0
10,-0.504512957,-0.584521788,0
11,1.282762043,0.301110578,1
12,0.505862323,1.409465251,1
13,0.097564873,1.496339942,1
14,-1.070356421,-0.856723513,0
15,-0.705595158,1.164673783,0
16,-0.905916454,-0.357398919,0
17,-0.242159324,0.668996827,1
18,1.438025814,0.057798099,1
19,-0.967247661,0.127177802,0
20,0.475288875,0.11055993,1
21,-1.143312303,1.517682644,0
22,-1.374378484,-0.460172972,0
23,-0.56322915,-0.401121707,0
24,-0.350536235,2.376431685,0
25,1.457223578,0.684820294,1
26,-1.272004873,-0.165169198,0
27,-1.551008979,1.511720594,0
28,-1.579985767,-1.479173859,0
29,-0.515719333,-1.421250093,0
30,1.734913759,-0.34597579,1
31,1.767596213,-0.079754211,1
32,-1.385406003,0.245488515,0
33,0.609070507,-0.774181955,1
34,-0.969386767,1.321099377,0
35,1.758643828,-0.921085467,1
36,-1.329327192,0.352762511,0
37,-1.620886816,-1.013257173,0
38,0.564736422,-0.284436194,1
39,-0.843753834,-2.742608621,0
40,-1.205188872,0.08724806,0
41,1.193952191,1.277645138,1
42,0.568910321,1.471981749,1
43,-1.405049085,0.540826646,0
44,-0.475570296,0.405912598,1
45,1.206368019,-0.199280964,1
46,0.601012769,0.472802267,1
47,-1.202272631,-0.659009449,0
48,2.254770794,0.427327499,1
49,0.744988263,1.452905236,1
50,-0.357344358,-1.000594302,0
51,1.550374131,-1.684406389,1
52,-1.515586486,-2.477769446,0
53,-1.106313787,1.047130347,0
54,0.696259358,-0.56206041,1
55,-0.112698829,0.900617283,1
56,1.124502684,0.801449805,1
57,-1.342013532,1.031217402,0
58,0.83866484,-0.580368576,1
59,0.846456341,2.146472674,1
